d_ij(km),EGLL,LFPG,EHAM,EDDF,LEMF,LEBL,EDDM,LIRF,EIDW,ESSA,LPPT,EDDT,EFHK,EPWA,EGPH,LROP,LGIR,BIKF,LICJ,LPMA,KJFK,KATL,KLAX,KORD
EGLL,0,347,370,655,1246,1148,942,1444,449,1463,1564,947,1848,1470,534,2104,2715,1895,1834,2471,5540,6761,8760,6344
LFPG,347,0,398,449,1065,859,682,1101,785,1539,1470,850,1896,1342,869,1850,2390,2241,1487,2421,5834,7056,9103,6664
EHAM,370,398,0,367,1461,1241,664,1297,750,1152,1846,578,1521,1101,666,1783,2481,2038,1712,2784,5848,7066,8956,6612
EDDF,655,449,367,0,1422,1094,299,958,1087,1223,1874,432,1538,896,1033,1449,2114,2401,1378,2836,6189,7410,9322,6971
LEMF,1246,1065,1461,1422,0,483,1497,1330,1454,2601,513,1854,2947,2271,1721,2458,2573,2892,1473,1460,5762,6962,9387,6746
LEBL,1148,859,1241,1094,483,0,1095,847,1485,2315,994,1510,2628,1870,1677,1980,2114,2981,1023,1922,6150,7360,9674,7094
EDDM,942,682,664,299,1497,1095,0,730,1381,1317,1984,480,1575,777,1330,1171,1818,2692,1146,2948,6481,7702,9616,7270
LIRF,1444,1101,1297,958,1330,847,730,0,1886,2023,1839,1199,2234,1327,1934,1162,1333,3319,420,2744,6866,8085,10203,7742
EIDW,449,785,750,1087,1454,1485,1381,1886,0,1625,1642,1308,2023,1825,337,2530,3164,1498,2266,2451,5103,6323,8318,5895
ESSA,1463,1539,1152,1223,2601,2315,1317,2023,1625,0,2998,839,399,854,1320,1764,2754,2143,2417,3929,6292,7468,8863,6856
LPPT,1564,1470,1846,1874,513,994,1984,1839,1642,2998,0,2303,3364,2749,1956,2971,3051,2940,1952,965,5404,6585,9137,6435
EDDT,947,850,578,432,1854,1510,480,1199,1308,839,2303,0,1119,523,1143,1291,2132,2406,1607,3263,6368,7580,9319,7081
EFHK,1848,1896,1521,1538,2947,2628,1575,2234,2023,399,3364,1119,0,939,1718,1752,2777,2444,2601,4305,6607,7768,9013,7119
EPWA,1470,1342,1101,896,2271,1870,777,1327,1825,854,2749,523,939,0,1634,925,1901,2804,1672,3714,6848,8054,9658,7519
EGPH,534,869,666,1033,1721,1677,1330,1934,337,1320,1956,1143,1718,1634,0,2419,3147,1385,2339,2785,5225,6438,8292,5957
LROP,2104,1850,1783,1449,2458,1980,1171,1162,2530,1764,2971,1291,1752,925,2419,0,1029,3690,1283,3898,7631,8849,10577,8371
LGIR,2715,2390,2481,2114,2573,2114,1818,1333,3164,2754,3051,2132,2777,1901,3147,1029,0,4505,1101,3849,8197,9417,11431,9054
BIKF,1895,2241,2038,2401,2892,2981,2692,3319,1498,2143,2940,2406,2444,2804,1385,3690,4505,0,3722,3502,4163,5328,6926,4725
LICJ,1834,1487,1712,1378,1473,1023,1146,420,2266,2417,1952,1607,2601,1672,2339,1283,1101,3722,0,2780,7160,8374,10580,8073
LPMA,2471,2421,2784,2836,1460,1922,2948,2744,2451,3929,965,3263,4305,3714,2785,3898,3849,3502,2780,0,5071,6177,8978,6193
KJFK,5540,5834,5848,6189,5762,6150,6481,6866,5103,6292,5404,6368,6607,6848,5225,7631,8197,4163,7160,5071,0,1222,3974,1188
KATL,6761,7056,7066,7410,6962,7360,7702,8085,6323,7468,6585,7580,7768,8054,6438,8849,9417,5328,8374,6177,1222,0,3126,976
KLAX,8760,9103,8956,9322,9387,9674,9616,10203,8318,8863,9137,9319,9013,9658,8292,10577,11431,6926,10580,8978,3974,3126,0,2802
KORD,6344,6664,6612,6971,6746,7094,7270,7742,5895,6856,6435,7081,7119,7519,5957,8371,9054,4725,8073,6193,1188,976,2802,0
